Assembly	NEK_END	NEK_START	NEK_clone_2	NEK_clone_3	NEK_clone_4	NEK_clone_5
# contigs (>= 0 bp)	101286	115992	154553	139634	137263	154920
# contigs (>= 1000 bp)	5257	5686	5068	4946	4878	4932
# contigs (>= 5000 bp)	1215	1263	960	887	1058	1015
# contigs (>= 10000 bp)	616	631	445	423	474	451
# contigs (>= 25000 bp)	253	263	218	233	217	212
# contigs (>= 50000 bp)	123	93	133	135	124	129
Total length (>= 0 bp)	47306720	48728197	53528328	51339271	52614670	54075679
Total length (>= 1000 bp)	32744369	32302034	31763272	31246106	32283764	31979138
Total length (>= 5000 bp)	24198904	22934762	23181693	22725901	24144765	23607497
Total length (>= 10000 bp)	19988606	18601941	19705289	19548943	20121164	19735987
Total length (>= 25000 bp)	14527416	13049209	16285659	16617049	16261208	16166927
Total length (>= 50000 bp)	9792306	7059213	13231279	12977535	12889604	13187050
# contigs	8451	9388	9895	9726	9692	9882
Largest contig	244352	190878	311525	305493	313583	313212
Total length	34983361	34900198	35068276	34510083	35541370	35322680
Reference length	35826294	35826294	35826294	35826294	35826294	35826294
GC (%)	44.56	44.61	44.37	44.53	44.42	44.40
Reference GC (%)	45.49	45.49	45.49	45.49	45.49	45.49
N50	15026	12068	17619	20532	17179	16472
NG50	14133	11170	16095	17135	16447	15442
N75	3587	3064	2964	2923	3317	3188
NG75	3235	2745	2728	2485	3199	2994
L50	412	526	278	262	292	287
LG50	441	566	300	297	301	303
L75	1700	2098	1782	1722	1680	1741
LG75	1886	2338	1982	2090	1746	1863
# misassemblies	341	319	262	270	286	252
# misassembled contigs	282	271	216	213	237	209
Misassembled contigs length	2378619	1802798	2607917	2332715	2954030	2654193
# local misassemblies	471	523	496	435	496	496
# scaffold gap ext. mis.	27	26	32	26	22	24
# scaffold gap loc. mis.	291	350	451	363	559	571
# unaligned mis. contigs	939	933	903	876	917	916
# unaligned contigs	2894 + 2317 part	3254 + 2347 part	4461 + 2335 part	4355 + 2281 part	4358 + 2204 part	4495 + 2179 part
Unaligned length	11218777	11151306	11420571	10919331	11828240	11659068
Genome fraction (%)	63.574	63.242	63.263	63.179	63.328	63.224
Duplication ratio	1.044	1.048	1.044	1.043	1.045	1.045
# N's per 100 kbp	111.51	128.65	175.06	136.63	194.70	206.92
# mismatches per 100 kbp	1133.77	1145.83	1101.86	1086.74	1103.00	1104.79
# indels per 100 kbp	157.62	153.26	158.49	160.94	159.51	158.83
# genomic features	41764 + 8988 part	40914 + 9755 part	41858 + 8635 part	42259 + 8264 part	41552 + 9209 part	41550 + 9113 part
Largest alignment	226229	190641	305895	304995	306963	303798
Total aligned length	23340628	23262575	23144344	23099213	23230872	23158330
NA50	11988	8542	15468	18567	14015	13498
NGA50	10442	7294	13112	14828	13340	11996
LA50	444	574	300	282	322	315
LGA50	481	632	326	322	332	335
