ID or #		Start	End	Type	Contig
==================================================
Tb10.v4.0183		58394	61764	partial	NODE_2540_length_2134_cov_6.781721:1887-1451,NODE_3849_length_1298_cov_11.682228:1298-1,NODE_2540_length_2134_cov_6.781721:202-1,NODE_7146_length_663_cov_15.571672:663-218,NODE_9036_length_536_cov_7.655773:535-314,NODE_2835_length_1873_cov_6.204343:1438-1321,NODE_9036_length_536_cov_7.655773:237-114
Tb10.v4.0183:pseudogenic_transcript		58394	61764	partial	NODE_2540_length_2134_cov_6.781721:1887-1451,NODE_3849_length_1298_cov_11.682228:1298-1,NODE_2540_length_2134_cov_6.781721:202-1,NODE_7146_length_663_cov_15.571672:663-218,NODE_9036_length_536_cov_7.655773:535-314,NODE_2835_length_1873_cov_6.204343:1438-1321,NODE_9036_length_536_cov_7.655773:237-114
exon_Tb10.v4.0183-E2		58426	58866	partial	NODE_2540_length_2134_cov_6.781721:1886-1451
exon_Tb10.v4.0183-E3		58868	59953	partial	NODE_3849_length_1298_cov_11.682228:1298-933
exon_Tb10.v4.0183-E4		59956	61764	partial	NODE_3849_length_1298_cov_11.682228:930-1,NODE_2540_length_2134_cov_6.781721:202-1,NODE_7146_length_663_cov_15.571672:663-218,NODE_9036_length_536_cov_7.655773:535-314,NODE_2835_length_1873_cov_6.204343:1438-1321,NODE_9036_length_536_cov_7.655773:237-114
Tb10.v4.0183:pseudogenic_transcript-p1-CDS2		58426	58866	partial	NODE_2540_length_2134_cov_6.781721:1886-1451
Tb10.v4.0183:pseudogenic_transcript-p1-CDS3		58868	59953	partial	NODE_3849_length_1298_cov_11.682228:1298-933
Tb10.v4.0183:pseudogenic_transcript-p1-CDS4		59956	60138	complete	NODE_3849_length_1298_cov_11.682228:930-748
utr_Tb10.v4.0183:pseudogenic_transcript_1		60139	61764	partial	NODE_3849_length_1298_cov_11.682228:747-1,NODE_2540_length_2134_cov_6.781721:173-1,NODE_7146_length_663_cov_15.571672:663-218,NODE_9036_length_536_cov_7.655773:535-314,NODE_2835_length_1873_cov_6.204343:1438-1321,NODE_9036_length_536_cov_7.655773:237-114
Tb927.8.4470		1324654	1325414	complete	NODE_15_length_161245_cov_9.686898:105356-106116
Tb927.8.4470.2:mRNA		1324654	1325414	complete	NODE_15_length_161245_cov_9.686898:105356-106116
Tb927.8.4470.1:mRNA		1324654	1325332	complete	NODE_15_length_161245_cov_9.686898:105356-106034
exon_Tb927.8.4470-E1		1324654	1325414	complete	NODE_15_length_161245_cov_9.686898:105356-106116
exon_Tb927.8.4470-E2		1324654	1325332	complete	NODE_15_length_161245_cov_9.686898:105356-106034
Tb927.8.4470.2:mRNA-p1-CDS1		1324654	1325367	complete	NODE_15_length_161245_cov_9.686898:105356-106069
Tb927.8.4470.1:mRNA-p1-CDS1		1324654	1325310	complete	NODE_15_length_161245_cov_9.686898:105356-106012
utr_Tb927.8.4470.1:mRNA_1		1325311	1325332	complete	NODE_15_length_161245_cov_9.686898:106013-106034
utr_Tb927.8.4470.2:mRNA_1		1325368	1325414	complete	NODE_15_length_161245_cov_9.686898:106070-106116
Tb927.7.5460		1474444	1475778	complete	NODE_246_length_20059_cov_9.076619:10928-12262
Tb927.7.5460:mRNA		1474444	1475778	complete	NODE_246_length_20059_cov_9.076619:10928-12262
exon_Tb927.7.5460-E1		1474444	1475778	complete	NODE_246_length_20059_cov_9.076619:10928-12262
Tb927.7.5460:mRNA-p1-CDS1		1474719	1475327	complete	NODE_246_length_20059_cov_9.076619:11203-11811
utr_Tb927.7.5460:mRNA_1		1474444	1474718	complete	NODE_246_length_20059_cov_9.076619:10928-11202
utr_Tb927.7.5460:mRNA_2		1475328	1475778	complete	NODE_246_length_20059_cov_9.076619:11812-12262
Tb927.4.580		166931	168539	complete	NODE_11_length_179448_cov_9.996493:87681-89289
Tb927.4.580:mRNA		166931	168539	complete	NODE_11_length_179448_cov_9.996493:87681-89289
exon_Tb927.4.580-E1		166931	168539	complete	NODE_11_length_179448_cov_9.996493:87681-89289
Tb927.4.580:mRNA-p1-CDS1		167194	168474	complete	NODE_11_length_179448_cov_9.996493:87944-89224
utr_Tb927.4.580:mRNA_1		166931	167193	complete	NODE_11_length_179448_cov_9.996493:87681-87943
utr_Tb927.4.580:mRNA_2		168475	168539	complete	NODE_11_length_179448_cov_9.996493:89225-89289
